X,Y,Z,E1,E2,mpt,load,contact,real_wire_speed,set_wire_speed
172.67,57.04,276.02,7.31,341.69,2281.4429,1.19718,4.50505,0,4.5312
172.67,57.04,276.02,7.31,341.69,2286.7951,1.19712,4.4835,0,4.5312
172.67,57.04,276.02,7.31,341.69,2289.09166,1.19691,4.51581,0,4.5312
172.67,57.04,276.02,7.31,341.69,2292.28309,1.19491,4.26294,0,3.5156
172.91,56.28,276.02,7.31,341.94,2295.13504,1.19499,4.336,0,3.5156
172.91,56.28,276.02,7.31,341.94,2299.09613,1.19179,4.43737,0,4.5312
172.91,56.28,276.02,7.31,341.94,2303.34248,1.18885,4.54667,0,4.5312
172.91,56.28,276.02,7.31,341.94,2303.34248,1.18885,4.54667,0,4.5312
172.91,56.28,276.02,7.31,341.94,2307.71188,1.18495,4.65922,2.1475,3.4375
173.14,55.59,276.02,7.31,342.19,2308.69262,1.18486,4.68579,2.1475,3.4375
173.14,55.59,276.02,7.31,342.19,2310.36462,1.18369,4.73032,2.1475,3.4375
173.14,55.59,276.02,7.31,342.19,2311.37217,1.18302,4.75665,2.1475,3.4375
173.14,55.59,276.02,7.31,342.19,2312.71409,1.18213,4.7926,2.1475,3.4375
173.14,55.59,276.02,7.31,342.19,2313.01594,1.182,4.80044,3.7614,3.4375
173.14,55.59,276.02,7.31,342.19,2313.39258,1.1818,4.81031,3.7614,3.4375
173.14,55.59,276.02,7.31,342.19,2313.71986,1.18139,4.81978,3.7614,3.4375
173.48,54.52,276.02,7.31,342.56,2314.38071,1.18105,4.83866,3.7614,3.4375
173.48,54.52,276.02,7.31,342.56,2314.71466,1.18095,4.84732,3.7614,3.4375
173.48,54.52,276.02,7.31,342.56,2315.42181,1.18077,4.86696,3.7614,3.4375
173.48,54.52,276.02,7.31,342.56,2315.6728,1.18052,4.87433,3.7614,3.4375
173.48,54.52,276.02,7.31,342.56,2315.78394,1.18036,4.87751,3.3807,3.4375
173.48,54.52,276.02,7.31,342.56,2315.9366,1.17957,4.88199,3.3807,3.4375
173.72,53.75,276.02,7.31,342.81,2316.05247,1.17962,4.88486,3.3807,3.4375
173.72,53.75,276.02,7.31,342.81,2316.17861,1.17929,4.88824,3.3807,3.4375
173.72,53.75,276.02,7.31,342.81,2316.32863,1.1791,4.89397,3.3807,3.4375
173.72,53.75,276.02,7.31,342.81,2316.55975,1.1794,4.90039,3.3807,3.4375
173.72,53.75,276.02,7.31,342.81,2316.63259,1.17896,4.90416,3.3807,3.4375
173.72,53.75,276.02,7.31,342.81,2316.69224,1.17912,4.90583,3.3781,3.4375
173.92,53.09,276.02,7.31,343,2316.74517,1.17911,4.90769,3.3781,3.4375
173.92,53.09,276.02,7.31,343,2316.77446,1.17898,4.90859,3.3781,3.4375
173.92,53.09,276.02,7.31,343,2316.86305,1.17892,4.91036,3.3781,3.4375
173.92,53.09,276.02,7.31,343,2316.87772,1.17878,4.91116,3.3781,3.4375
173.92,53.09,276.02,7.31,343,2316.9052,1.17848,4.91281,3.3781,3.4375
173.92,53.09,276.02,7.31,343,2316.91036,1.17838,4.91438,3.3963,3.4375
174.15,52.34,276.02,7.31,343.25,2316.90051,1.17824,4.91459,3.3963,3.4375
174.15,52.34,276.02,7.31,343.25,2316.88615,1.17808,4.9154,3.3963,3.4375
174.15,52.34,276.02,7.31,343.25,2316.8785,1.1779,4.91616,3.3963,3.4375
174.15,52.34,276.02,7.31,343.25,2316.86593,1.17783,4.91666,3.3963,3.4375
174.15,52.34,276.02,7.31,343.25,2316.8879,1.17746,4.91757,3.3963,3.4375
174.15,52.34,276.02,7.31,343.25,2316.93093,1.1776,4.91746,3.3963,3.4375
174.15,52.34,276.02,7.31,343.25,2316.90342,1.17735,4.91809,3.3963,3.4375
174.48,51.2,276.02,7.31,343.62,2316.89634,1.17732,4.91774,3.4039,3.4375
174.48,51.2,276.02,7.31,343.62,2316.88863,1.17693,4.91797,3.4039,3.4375
