loop_time,x,y,z,angle_x,angle_y,angle_z,layer,do1,rwfs,swfs,tcp_speed_output
0.01581890002125874,158.45,-169.63,540.61,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.013539400009904057,158.57,-169.16,539.5,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015775099978782237,158.75,-168.53,538.02,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.012871599989011884,158.94,-167.9,536.55,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015518000000156462,159.13,-167.28,535.09,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015074900002218783,159.28,-166.79,534.0,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015097700001206249,159.46,-166.16,532.51,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.01443219999782741,159.65,-165.53,531.05,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.013211199955549091,159.85,-164.88,529.6,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.017544700007420033,160.04,-164.26,528.12,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015873299969825894,160.21,-163.64,526.62,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.012699699960649014,160.39,-162.99,525.15,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.01428559998748824,160.52,-162.52,524.05,-179.5,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.016268900013528764,160.69,-161.88,522.58,-179.49,-0.27,178.12,1.0,0.0,8.0,8.0,0.1
0.012890900019556284,160.87,-161.24,521.1,-179.49,-0.27,178.12,1.0,0.0,8.0,8.0,0.1
0.015876299992669374,161.04,-160.62,519.62,-179.49,-0.27,178.12,1.0,0.0,8.0,8.0,0.1
0.017297000042162836,161.23,-159.97,518.16,-179.49,-0.27,178.12,1.0,0.0,8.0,8.0,0.1
0.012687299982644618,161.37,-159.48,517.07,-179.49,-0.27,178.12,1.0,0.0,8.0,8.0,0.1
0.014972000033594668,161.58,-158.7,515.21,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014939299959223717,161.72,-158.22,514.11,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.015332199982367456,161.92,-157.59,512.64,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014068700023926795,162.06,-157.13,511.55,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014248799998313189,162.3,-156.34,509.71,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.01467080001020804,162.48,-155.71,508.23,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.019047999987378716,162.6,-155.24,507.11,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.013198799977544695,162.8,-154.59,505.65,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014981799991801381,163.02,-153.81,503.81,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.0156561000039801,163.15,-153.34,502.7,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.012174700037576258,163.33,-152.7,501.21,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.015361799974925816,163.5,-152.06,499.73,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.015673100017011166,163.63,-151.58,498.64,-179.49,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.013837100006639957,163.83,-150.94,497.2,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.01564579998375848,163.96,-150.47,496.09,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014126699999906123,164.2,-149.69,494.23,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.013939599972218275,164.38,-149.04,492.76,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.016844800033140928,164.52,-148.57,491.67,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014253799978177994,164.7,-147.93,490.21,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.013018100056797266,164.88,-147.28,488.73,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.016119499981869012,165.01,-146.82,487.62,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014942899986635894,165.19,-146.19,486.14,-179.48,-0.27,178.1,1.0,0.0,8.0,8.0,0.1
0.015189899946562946,165.43,-145.38,484.32,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.01430629997048527,165.56,-144.91,483.22,-179.48,-0.27,178.1,1.0,0.0,8.0,8.0,0.1
0.013600600010249764,165.76,-144.25,481.76,-179.48,-0.27,178.1,1.0,0.0,8.0,8.0,0.1
0.014083800022490323,165.9,-143.77,480.65,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.013137600035406649,166.08,-143.16,479.16,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.017469300015363842,166.29,-142.52,477.72,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.013762999966274947,166.44,-142.04,476.63,-179.48,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014229399967007339,166.67,-141.25,474.81,-179.47,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.014888199977576733,166.82,-140.76,473.71,-179.47,-0.27,178.1,1.0,0.0,8.0,8.0,0.1
0.01636010000947863,166.98,-140.14,472.22,-179.47,-0.27,178.11,1.0,0.0,8.0,8.0,0.1
0.01388859999133274,167.15,-139.51,470.74,-179.47,-0.27,178.1,1.0,0.0,8.0,8.0,0.1
0.014069900033064187,167.35,-138.85,469.29,-179.47,-0.27,178.1,1.0,0.0,8.0,8.0,0.1
0.014355000050272793,167.53,-138.22,467.82,-179.47,-0.27,178.1,1.0,0.0,8.0,8.0,0.1
0.01681170001393184,167.66,-137.74,466.71,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.01510790002066642,167.84,-137.1,465.23,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.013225499948021024,168.0,-136.47,463.74,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.017824699985794723,168.19,-135.84,462.28,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.013127199956215918,168.39,-135.2,460.82,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.015129899955354631,168.57,-134.59,459.34,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.01457150001078844,168.76,-133.94,457.86,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.01601319998735562,168.89,-133.47,456.75,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.014664999966043979,169.07,-132.84,455.28,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.014348800003062934,169.26,-132.19,453.82,-179.47,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.013923800026532263,169.44,-131.56,452.36,-179.46,-0.28,178.1,1.0,0.0,8.0,8.0,0.1
0.017088500026147813,169.57,-131.11,451.25,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014737699995748699,169.76,-130.47,449.77,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.01421749999281019,169.93,-129.84,448.29,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.01665040000807494,170.1,-129.23,446.81,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.013459599984344095,170.29,-128.57,445.35,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014628300035838038,170.48,-127.94,443.89,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014899800007697195,170.68,-127.31,442.43,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.015605299966409802,170.82,-126.82,441.33,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.015027500048745424,170.98,-126.2,439.84,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.013092699984554201,171.15,-125.57,438.36,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014689200033899397,171.33,-124.91,436.89,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014492199989035726,171.46,-124.44,435.79,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.013974800007417798,171.66,-123.8,434.33,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.01318930002162233,171.86,-123.16,432.86,-179.46,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.018113900034222752,172.04,-122.54,431.39,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.013244999980088323,172.24,-121.89,429.91,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.015245500020682812,172.42,-121.27,428.43,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014526399958413094,172.59,-120.65,426.97,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.01593920000595972,172.74,-120.17,425.87,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014926899981219321,172.93,-119.53,424.41,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.015016299963463098,173.11,-118.9,422.94,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.01405589998466894,173.29,-118.25,421.46,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.01533920003566891,173.46,-117.62,419.98,-179.45,-0.28,178.09,1.0,0.0,8.0,8.0,0.1
0.014984700013883412,173.62,-116.99,418.5,-179.45,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
